y,strata,compare
11.598970346181465,0,1
17.735572851168016,3,2
17.26204774444197,3,0
13.446519370761283,2,0
12.487975582943465,2,1
19.270538136390005,4,1
9.91932617377252,0,2
20.151894870369823,3,1
12.695411782209328,1,2
11.474109266534587,0,1
14.251056602191271,2,0
18.22258435037446,4,0
16.052324856651442,3,2
16.41216090319637,3,0
20.692704598652746,3,2
16.26791998116342,3,0
16.257733805604516,2,0
8.645609232869461,0,0
21.397359519311365,4,1
15.577426449158795,2,1
14.765043153512865,2,2
12.43885621079685,1,1
9.017818456855915,0,1
20.669108302223123,4,1
16.81752477948883,3,2
15.661591354349127,3,1
13.083093638520571,2,0
20.258881876583178,4,1
17.368636884615654,2,2
15.239987420360157,2,0
14.822042510835177,2,2
12.928739209403814,1,1
11.959002612560237,0,1
15.329073752045785,2,0
19.383609153749394,4,2
11.659433065089834,0,0
20.64313465769242,4,0
22.303633987993987,4,1
12.77485165583286,1,1
15.66329645241925,3,1
7.947761201131502,0,0
19.976391898346876,3,0
20.085498581174946,3,0
12.230721180076099,1,1
9.42521901829602,0,1
22.1921664383633,4,1
13.339431476934768,2,1
18.65790947156626,4,2
18.464990192033568,3,1
16.908092315710615,3,1
17.492317199919892,3,1
9.754835652213231,0,1
13.0063618231984,1,1
17.111222791970576,2,0
15.135877360352618,2,0
10.965908189915286,0,2
11.924741848453467,2,1
9.926922397104823,0,1
16.235154594560694,3,0
15.671780409364558,3,1
18.682771449606875,4,1
16.998814838948782,3,1
13.87385381353402,1,1
18.010410923390655,4,1
15.045947238891626,2,2
11.773745849999631,1,1
19.50849035845706,4,2
14.004136737956905,1,2
10.80717315550589,0,1
17.006097161164114,2,2
17.26824148112515,3,0
8.956086082493945,0,2
14.66421177467925,2,2
10.363745186906833,0,1
17.764860037680567,3,2
13.37341789164995,2,1
12.635734672441812,1,0
12.842342495208358,1,2
18.77621105630088,2,0
20.315266916922504,3,0
18.72013497416177,4,1
14.568924957676236,2,2
7.804836997244495,0,1
19.11393947905477,4,1
17.97340750538551,3,0
19.30878043133235,3,0
8.906374243384587,0,0
11.518780339898305,1,0
14.279066455392018,3,2
19.75600111918264,4,2
13.406378382210654,2,2
19.20584085895089,4,0
18.68470883274862,4,0
12.358606168621165,1,0
17.363407412965053,4,1
10.299432131913514,1,1
15.693870668042447,1,1
15.568866128088953,3,0
15.85482163231804,3,2
12.75537029248197,0,0
24.35760075386061,4,0
8.242650056761988,0,2
19.447626564817956,4,2
10.512333326410765,0,0
20.09304646660839,3,1
16.019714382357645,3,2
17.132083231086835,3,2
18.666006364092617,3,2
15.652149111699927,2,1
16.93576589315485,3,1
12.299265553225938,1,2
15.437656287445026,3,0
14.642739384038002,2,0
14.600418764986568,2,1
15.348254834439384,2,2
14.167009171771475,2,0
10.707307783817708,0,1
11.519073726729744,0,1
12.733143991502699,1,1
10.527634612598805,0,2
15.0797330213668,2,0
17.500126589637123,3,2
16.417662949685727,3,1
15.474741392509962,2,2
19.854070102379765,4,1
18.139752463395894,2,0
12.360032353712864,0,2
18.07876982883475,3,2
13.85541418545785,2,0
15.831382792024874,3,2
16.7867144296333,2,2
15.394123837720707,2,1
10.720215105087416,0,2
12.383121019538711,2,1
18.891157722337272,3,1
13.181630507321545,1,0
15.834353973378283,3,2
9.292712788825076,0,0
12.89557580653478,1,2
15.078700197534365,2,1
19.561743221294666,4,1
12.34476759790106,1,0
12.122033932689671,1,2
15.228843768153704,2,0
22.207237959489735,4,1
16.150012338603055,4,2
9.644724603235474,0,2
12.76476863205867,1,2
20.44399098453065,4,2
9.442128128018066,0,1
17.364917326282125,4,0
12.991993225571164,1,2
22.591025321246278,4,2
10.199207892625793,1,2
16.295742020547284,2,1
17.00721216531566,3,0
9.908013481256729,0,1
13.420652233944077,2,1
14.498315741466184,2,2
19.450066892048437,3,1
20.87398286298156,4,0
20.098467408114917,3,0
16.76611783346654,2,2
15.658630018394364,2,2
17.615901789251687,2,0
20.65848973810745,4,1
13.741982265195588,1,1
9.555143569697938,0,1
12.599818723788808,1,2
8.953864265049585,0,0
11.48437590189228,0,0
8.232544565327702,0,0
18.67352551362649,3,0
17.21402341374226,3,2
19.25687064020098,3,2
16.12630348309689,2,0
20.2309692364702,3,1
11.096162036707968,0,0
17.64193961652014,4,0
14.899570240652698,2,0
18.241989211107775,4,0
9.222580236450588,0,1
17.266842649915084,2,2
18.456300716346544,3,1
13.951604357131881,2,2
13.479423950339402,2,1
10.04917313931439,0,0
10.675159775928309,1,0
11.493289583905128,1,0
12.968014207326865,1,0
19.232968054160043,3,2
18.41314220833666,3,2
14.06306573710285,3,2
12.95655009354539,1,1
20.108050359848868,4,1
10.62083542805904,0,1
14.924314522476811,1,1
6.905142584792886,0,2
11.613344862213342,1,2
20.88635948419003,4,2
10.127608400819087,1,1
22.21392357208026,4,0
15.552534919050988,2,2
18.769875978765107,3,1
14.143584507717309,2,2
13.720645534949316,1,1
19.102707333983556,3,2
20.349317030205754,4,1
12.851601339048043,1,2
17.90551485892259,3,2
11.204982102890927,1,0
17.27870697963947,3,1
17.27121620132146,3,1
15.575090796530242,2,2
18.99973637036544,3,2
10.912195877032385,1,2
9.812486454520634,0,1
12.22218332148846,0,1
13.884617656781154,2,1
18.76662497406452,4,2
10.30345928774679,0,0
16.266577785727982,2,1
17.51713908334099,3,0
14.493440885655485,1,2
18.78519097384979,3,1
13.762730100335093,1,1
20.83117475198614,4,1
18.49147965051913,2,1
14.692257466700934,2,2
6.994716561900229,0,1
17.40638154227571,2,1
19.31345085356476,4,0
10.161820666514549,0,0
19.46432602729079,3,1
12.596610688411612,2,2
15.622529178840791,3,2
15.09808309432172,3,1
13.808795564961864,2,1
13.15945490902549,1,1
18.286281764219158,3,0
10.414411268992831,0,0
12.88085117416145,2,1
6.534844845051034,0,0
17.581530378085574,3,0
16.792335949542498,3,0
10.689078657574917,0,0
18.552930439331906,3,1
15.207362148088023,2,2
18.64019962806378,3,2
10.343817061172603,0,1
10.7950970584022,0,1
13.942990105695177,2,0
9.730582879252813,0,0
12.795164144985435,1,1
18.730792713126128,3,1
9.409388241663141,0,0
18.281750883598168,3,1
9.601241812126931,0,0
9.823686749007804,0,0
16.244278563036108,2,2
14.510409443418766,3,1
8.055291507887858,0,1
10.27672190383577,1,2
16.49957582022754,4,2
18.982603339767234,4,2
16.12415084959161,2,1
14.572673900426137,2,2
12.796685122912779,1,1
19.13382624506619,3,2
16.991529198401537,2,2
12.39629309791079,1,1
12.030378834354096,0,2
10.138189987651163,0,1
18.74390266425881,4,2
14.108399471701897,2,0
12.779195231152475,2,2
13.667799219399521,2,1
16.962974967888357,3,2
11.205377529067903,0,1
12.581154746748975,0,2
10.42672772693444,1,0
15.589241202389879,2,0
15.939184091263698,3,1
15.712045632694803,2,2
14.80337002396841,2,2
17.253641261228704,4,1
11.392445487352727,0,1
14.092498930786903,2,1
14.199149642439668,2,2
13.395371383065465,2,1
19.018575084968667,4,1
13.141835661042375,1,2
19.716133488595393,4,0
12.992993003423722,1,2
15.542882780893265,2,0
16.98099248329225,2,0
19.48582077370343,4,2
12.784713274731402,2,2
14.100833624857975,1,2
9.502767741854118,0,2
